Total , Description    , Type
231129, lemonade       , colorsecondary
235535, greymatter     , colorprimary
244280, swampgreen     , colorsecondary
245716, royalpurple    , colorsecondary
248927, granitegrey    , colortertiary
255855, kittencream    , colortertiary
263531, happygokitty   , mouth
287510, pouty          , mouth
309267, thicccbrowz    , eyes
408249, totesbasic     , pattern
